study_hours,attendance,previous_scores,assignments_completed,sleep_hours,extracurricular,parental_support,internet_access,final_score,pass_fail
8.3,86.7,63.5,93.6,7.0,1,2,1,59.3,Pass
3.2,83.7,73.6,84.4,8.9,1,2,0,54.4,Pass
3.0,91.8,46.6,100.0,8.7,0,0,1,58.0,Pass
2.4,66.0,70.4,57.5,7.1,0,2,1,46.8,Pass
5.2,100.0,81.4,79.9,6.0,1,1,1,72.6,Pass
6.3,68.5,72.3,85.5,5.5,0,1,0,62.1,Pass
3.8,89.0,67.1,66.3,6.0,0,1,1,56.4,Pass
2.3,59.8,63.6,84.5,7.3,1,0,1,55.7,Pass
2.4,68.8,52.5,63.4,5.3,0,2,1,42.8,Pass
5.3,98.2,63.9,90.4,7.6,0,2,1,63.5,Pass
5.5,76.9,83.9,95.9,9.7,0,2,1,64.2,Pass
5.1,90.1,63.2,84.1,6.4,1,2,1,67.7,Pass
2.7,82.8,51.7,52.2,4.5,0,1,1,44.4,Pass
4.5,78.7,57.6,65.5,4.5,1,0,1,47.3,Pass
4.2,96.4,68.0,88.5,7.7,0,2,0,63.6,Pass
4.4,77.2,59.4,80.3,6.4,0,1,1,49.3,Pass
5.7,58.6,72.3,39.6,7.8,0,2,1,52.3,Pass
4.4,70.4,72.8,98.6,5.7,1,0,1,59.0,Pass
5.4,86.6,78.3,82.0,7.7,0,1,1,60.9,Pass
4.1,84.7,86.4,67.7,6.3,1,1,1,61.0,Pass
4.6,61.2,79.9,94.9,5.4,0,1,1,48.8,Pass
5.3,71.3,51.0,69.8,5.9,0,2,1,51.9,Pass
1.1,73.0,51.4,69.7,4.7,0,2,1,39.6,Fail
3.4,75.6,63.9,85.4,9.5,0,1,1,67.3,Pass
3.1,63.5,58.2,100.0,6.4,0,1,1,50.7,Pass
2.7,72.5,47.9,100.0,7.5,1,0,0,45.9,Pass
3.4,71.3,58.4,85.4,5.7,1,1,1,43.7,Pass
7.0,89.3,57.9,86.9,4.9,1,1,1,69.0,Pass
2.3,89.7,54.9,91.9,6.1,1,1,1,50.7,Pass
5.9,78.3,60.3,61.1,8.2,0,1,1,50.7,Pass
0.6,75.3,82.7,89.7,5.7,1,1,1,52.4,Pass
3.3,81.7,68.0,69.0,5.2,0,1,1,54.8,Pass
4.3,70.2,100.0,84.8,6.7,1,2,1,64.6,Pass
5.2,66.2,67.6,76.6,7.2,1,1,1,54.4,Pass
5.4,68.7,60.6,87.5,9.0,0,1,1,56.5,Pass
5.6,72.4,65.1,81.8,7.0,1,2,1,58.5,Pass
3.3,66.0,68.8,33.9,7.5,1,2,1,46.2,Pass
3.1,81.9,71.5,82.7,7.6,0,2,1,57.1,Pass
5.7,88.8,96.2,89.6,4.8,1,1,1,73.0,Pass
3.6,61.0,52.3,86.7,5.1,0,1,1,47.4,Pass
1.4,80.3,77.9,78.5,4.9,0,2,1,46.9,Pass
1.7,77.4,68.1,100.0,4.5,0,1,1,50.8,Pass
2.2,84.1,41.4,84.7,7.7,1,1,1,51.3,Pass
5.0,79.8,76.6,86.6,6.9,0,2,1,51.4,Pass
4.3,62.6,84.0,95.7,6.6,1,0,1,48.0,Pass
5.4,64.9,52.1,85.4,3.0,0,2,1,56.4,Pass
3.1,80.4,64.9,66.5,9.6,0,2,1,59.2,Pass
4.3,92.3,39.1,43.4,5.2,1,0,1,40.0,Pass
5.3,53.4,46.1,72.8,9.6,0,2,1,48.1,Pass
3.4,84.1,80.7,91.4,4.3,1,1,1,56.3,Pass
4.9,94.3,58.0,74.7,5.3,0,2,1,56.1,Pass
2.7,78.2,48.4,92.0,3.2,1,2,1,50.9,Pass
3.3,86.6,68.4,82.2,7.0,1,2,1,49.6,Pass
3.2,71.6,57.2,99.3,4.8,0,0,0,45.0,Pass
1.6,78.6,57.9,75.6,4.9,0,2,1,45.0,Pass
5.0,60.5,76.1,87.0,4.4,0,2,1,54.6,Pass
3.1,51.9,47.6,87.6,7.7,1,1,1,38.5,Fail
4.0,91.3,51.4,100.0,7.6,1,1,0,61.2,Pass
5.0,68.2,67.3,54.4,9.2,0,0,1,48.3,Pass
4.9,74.5,79.5,73.1,5.5,0,2,1,55.0,Pass
5.3,63.4,83.6,92.7,6.8,1,0,1,60.3,Pass
3.8,63.1,55.0,100.0,4.6,0,1,1,49.8,Pass
3.2,77.9,79.1,83.6,6.0,1,2,1,60.1,Pass
3.8,71.2,53.2,75.6,5.7,1,2,1,44.9,Pass
0.6,84.5,92.4,91.4,7.2,0,2,1,48.5,Pass
1.1,85.4,48.0,93.0,8.0,0,1,1,46.2,Pass
1.4,83.9,84.9,74.6,8.0,0,0,1,52.3,Pass
2.0,82.9,55.2,85.0,5.2,0,1,1,42.5,Pass
4.8,98.9,95.2,97.7,8.0,1,0,1,62.0,Pass
2.2,67.2,73.9,100.0,6.4,1,2,1,53.9,Pass
3.2,79.3,49.8,91.1,6.0,1,1,0,47.1,Pass
6.6,93.6,57.2,80.7,5.4,0,1,0,53.6,Pass
3.3,95.2,76.7,79.2,5.7,0,0,1,62.1,Pass
5.5,62.9,80.8,88.4,9.1,1,1,1,55.9,Pass
2.1,76.3,63.9,78.3,7.0,0,2,1,55.1,Pass
3.6,96.3,65.7,82.8,6.8,0,2,1,58.1,Pass
2.1,86.1,76.4,64.1,6.1,0,0,1,51.8,Pass
3.3,82.3,67.0,99.5,10.0,1,0,0,55.7,Pass
5.7,77.4,45.6,62.9,8.5,1,1,1,38.4,Fail
0.5,75.4,52.8,73.5,5.4,0,0,1,35.4,Fail
4.9,83.5,68.5,81.5,6.1,1,2,1,58.0,Pass
4.5,77.0,83.2,100.0,6.2,0,1,1,62.9,Pass
2.8,79.5,89.2,73.7,6.7,0,0,1,45.7,Pass
1.1,80.9,76.7,70.0,5.4,0,2,0,48.4,Pass
4.1,71.9,69.3,71.7,7.2,1,1,1,47.2,Pass
2.9,86.4,76.2,100.0,8.7,0,1,1,60.1,Pass
4.5,100.0,55.0,37.8,4.5,0,1,0,50.3,Pass
4.0,58.7,62.7,65.0,4.8,0,0,1,49.5,Pass
7.2,83.9,52.6,100.0,5.8,1,1,1,68.2,Pass
3.5,70.9,46.3,88.9,5.8,1,2,1,51.7,Pass
2.0,86.9,70.0,63.4,9.5,0,2,1,55.2,Pass
4.4,80.6,67.8,79.4,8.0,1,1,1,54.5,Pass
4.4,89.1,75.3,81.0,7.9,0,1,1,73.8,Pass
6.7,94.1,73.2,92.7,6.1,0,1,1,60.6,Pass
5.7,82.3,68.6,100.0,6.1,1,1,1,59.7,Pass
4.7,93.6,73.3,85.8,4.3,1,1,1,65.6,Pass
6.9,51.9,64.4,71.9,7.7,0,1,1,57.2,Pass
1.6,99.1,71.2,91.8,7.2,1,0,0,58.1,Pass
2.7,84.5,54.1,69.5,8.4,0,2,0,52.6,Pass
2.1,92.9,70.5,64.5,6.2,1,2,1,42.1,Pass
3.2,65.4,75.0,53.6,6.3,1,1,1,55.5,Pass
1.2,70.0,55.0,56.5,6.8,1,2,1,40.2,Pass
5.3,81.8,65.8,66.6,7.8,0,0,1,61.4,Pass
3.6,79.8,55.6,62.3,4.3,1,2,1,38.8,Fail
1.1,83.4,57.1,84.7,7.6,1,1,0,49.0,Pass
2.0,93.0,48.1,62.0,6.5,0,0,1,42.9,Pass
4.6,58.8,84.0,32.8,4.9,0,1,1,50.0,Pass
5.7,91.7,81.0,64.3,3.4,1,1,1,62.5,Pass
8.0,80.1,73.1,72.9,6.3,0,1,1,65.4,Pass
9.8,77.6,94.6,70.9,8.7,1,1,1,66.8,Pass
4.8,62.3,62.2,100.0,9.0,0,0,1,54.2,Pass
2.0,86.0,100.0,70.8,7.0,1,0,1,55.6,Pass
0.0,51.0,61.6,93.2,9.4,0,1,1,43.3,Pass
4.5,87.8,68.8,79.7,6.4,1,1,1,63.0,Pass
2.4,62.1,59.0,79.4,7.9,1,0,0,45.8,Pass
3.2,80.6,70.6,67.5,5.8,0,1,1,45.1,Pass
2.8,78.6,77.5,79.1,5.7,1,1,1,54.1,Pass
3.7,94.0,63.3,68.5,5.5,1,1,1,67.7,Pass
6.1,77.9,91.7,82.6,3.4,0,2,0,71.9,Pass
4.3,71.7,68.6,76.5,8.4,0,1,1,38.8,Fail
3.7,73.9,69.1,65.8,5.5,1,1,1,51.2,Pass
1.9,95.3,51.4,94.9,5.3,1,1,0,56.8,Pass
0.7,86.4,71.3,86.4,4.7,0,1,1,48.9,Pass
3.0,75.4,63.0,73.3,6.2,1,0,1,46.9,Pass
3.9,77.2,55.9,82.2,9.1,0,0,1,50.4,Pass
7.5,61.2,53.4,78.7,9.6,0,2,1,59.5,Pass
4.3,84.7,100.0,67.0,4.0,1,1,1,54.8,Pass
6.0,58.9,61.0,81.1,6.0,0,1,1,59.0,Pass
3.0,89.0,43.1,70.7,4.9,0,1,1,47.4,Pass
1.6,81.5,54.5,65.8,8.0,0,1,1,40.6,Pass
2.1,100.0,64.2,55.7,6.9,0,2,0,56.4,Pass
2.5,66.8,73.2,74.6,5.5,0,1,1,40.8,Pass
8.3,78.8,73.3,88.5,6.6,1,0,1,63.3,Pass
2.4,100.0,75.1,69.6,5.8,0,2,1,52.8,Pass
5.7,94.3,55.3,100.0,8.9,1,1,1,73.8,Pass
2.2,71.6,70.1,93.3,7.3,1,1,1,48.4,Pass
5.9,82.7,51.9,99.6,7.5,0,2,1,49.2,Pass
4.8,80.0,55.7,91.9,3.0,0,1,1,52.0,Pass
3.7,83.4,51.2,100.0,6.4,1,1,1,57.0,Pass
3.9,71.6,47.2,68.2,9.6,0,2,1,52.0,Pass
2.7,78.9,81.0,41.6,8.5,0,1,1,60.2,Pass
4.9,60.8,75.3,73.3,3.7,1,1,1,59.7,Pass
3.1,81.6,79.6,88.4,6.0,1,0,1,57.2,Pass
1.5,85.4,65.6,82.3,4.7,1,1,1,45.7,Pass
1.4,77.3,76.7,84.1,9.1,0,1,1,59.5,Pass
4.3,60.6,38.6,99.8,6.9,0,1,1,46.5,Pass
7.2,91.9,77.9,85.7,5.3,0,1,1,63.6,Pass
4.3,84.4,67.7,92.0,6.6,1,2,1,57.0,Pass
3.8,71.3,74.4,65.9,3.0,0,1,1,44.3,Pass
4.6,76.6,70.7,63.6,4.9,0,2,0,50.9,Pass
6.6,62.0,50.2,100.0,6.6,0,2,0,55.2,Pass
4.4,67.7,42.5,81.5,7.8,1,2,1,53.1,Pass
3.2,73.5,54.3,70.7,3.6,1,2,1,45.6,Pass
6.2,94.7,73.5,70.7,5.9,0,2,1,56.7,Pass
4.9,72.3,75.4,70.3,8.0,0,0,0,46.4,Pass
7.1,87.7,44.5,69.4,4.3,0,1,1,57.5,Pass
4.4,73.5,50.3,60.8,6.8,0,2,1,48.7,Pass
1.6,83.0,54.2,57.5,6.6,0,1,1,41.0,Pass
1.3,78.3,59.6,77.1,9.1,0,1,1,44.4,Pass
7.3,90.5,44.6,71.1,6.2,1,2,1,61.2,Pass
7.4,73.6,43.7,96.6,6.2,1,0,1,65.3,Pass
3.6,61.1,52.7,84.4,7.8,1,1,1,44.1,Pass
3.2,63.4,66.3,84.0,4.5,1,0,1,49.3,Pass
6.9,73.6,47.3,68.9,6.2,0,1,0,58.4,Pass
1.8,65.0,63.3,78.2,5.8,0,1,1,41.2,Pass
2.2,84.9,80.9,85.4,6.3,0,1,1,55.0,Pass
5.3,74.4,45.5,90.7,7.8,1,2,1,54.6,Pass
3.2,100.0,61.9,78.6,7.3,0,1,1,49.5,Pass
4.0,59.1,80.4,96.2,5.4,0,1,1,55.5,Pass
3.7,82.4,58.7,80.1,6.7,0,2,1,53.5,Pass
4.7,66.5,56.4,91.9,8.7,0,2,1,56.6,Pass
6.8,74.1,82.5,72.7,5.3,1,1,1,55.6,Pass
4.2,81.7,60.4,52.8,6.7,1,0,0,49.5,Pass
5.3,52.1,81.6,84.0,6.2,0,1,1,61.6,Pass
0.0,82.8,71.4,90.9,6.4,1,2,1,60.0,Pass
3.9,100.0,59.9,88.6,4.1,0,1,1,64.3,Pass
2.3,74.6,72.2,86.3,8.6,0,1,1,46.1,Pass
1.6,83.1,69.8,74.8,5.3,0,2,1,52.1,Pass
2.2,92.3,80.3,67.9,8.0,1,1,1,52.5,Pass
3.3,78.0,56.8,88.3,5.6,1,1,1,53.3,Pass
5.8,73.0,65.6,86.4,5.6,0,2,1,54.2,Pass
1.3,52.7,64.1,71.6,8.3,1,2,0,33.3,Fail
4.1,87.7,75.6,96.6,8.0,0,1,0,58.9,Pass
3.0,78.6,49.6,66.8,6.8,0,1,1,50.2,Pass
3.3,67.8,80.3,71.2,7.6,1,1,1,53.8,Pass
6.0,81.5,72.0,100.0,6.1,1,1,1,65.6,Pass
5.1,73.0,45.2,93.0,6.5,1,1,1,54.4,Pass
6.7,73.7,83.1,74.6,5.5,1,2,1,64.3,Pass
3.7,87.3,98.5,84.3,7.9,0,1,0,65.0,Pass
2.6,63.9,80.0,82.3,5.5,1,1,1,49.6,Pass
3.6,92.6,86.4,38.8,8.7,1,0,0,54.4,Pass
4.5,63.2,66.3,66.4,6.0,0,2,1,58.9,Pass
4.4,72.0,40.1,79.2,6.5,0,1,1,48.7,Pass
1.8,100.0,37.3,74.7,7.6,1,1,1,48.2,Pass
4.2,93.5,68.8,83.7,6.5,0,1,1,59.3,Pass
4.5,81.2,56.1,96.9,6.1,0,1,1,54.9,Pass
9.0,68.7,51.3,75.2,6.5,1,2,1,58.2,Pass
7.8,73.6,64.1,64.1,7.8,1,2,1,60.9,Pass
2.3,80.9,74.2,84.9,5.5,1,1,1,50.7,Pass
3.4,80.5,43.2,75.1,6.3,1,1,1,47.4,Pass
1.1,78.9,58.3,77.7,6.5,0,2,1,42.2,Pass
2.8,79.6,87.6,75.6,7.8,1,1,1,56.5,Pass
4.6,77.4,48.9,100.0,6.4,0,2,0,57.9,Pass
6.4,62.7,78.0,46.4,9.2,1,0,1,52.7,Pass
2.5,73.8,57.7,74.2,6.3,0,0,1,36.4,Fail
2.7,91.0,73.2,79.9,6.1,1,1,1,58.5,Pass
0.0,63.6,81.5,68.3,6.2,1,1,1,44.0,Pass
3.7,77.7,76.1,93.5,4.5,1,1,1,52.0,Pass
1.9,70.2,78.6,92.2,4.9,0,2,1,55.8,Pass
2.9,81.3,47.7,79.3,5.7,0,0,1,40.7,Pass
2.2,75.3,81.7,75.9,8.2,0,1,1,57.5,Pass
3.8,97.7,52.2,78.3,6.5,0,1,1,54.5,Pass
0.5,86.1,68.9,78.4,5.8,1,2,1,37.6,Fail
1.1,64.3,68.9,78.8,8.3,0,1,1,46.0,Pass
8.3,88.1,72.3,77.2,8.8,1,1,1,65.4,Pass
1.4,70.7,70.1,83.8,8.4,0,1,1,45.5,Pass
1.8,73.1,52.3,91.3,5.2,0,1,1,42.8,Pass
7.7,83.8,44.8,61.5,5.8,1,2,1,56.5,Pass
9.8,74.1,78.1,64.2,9.2,0,1,0,64.0,Pass
1.7,90.7,67.8,53.8,6.9,0,1,1,38.6,Fail
3.3,70.7,82.2,93.0,6.1,0,2,1,62.6,Pass
4.7,72.6,64.3,83.8,7.6,0,1,1,53.5,Pass
7.5,72.1,43.9,87.6,8.0,1,0,1,53.5,Pass
2.0,73.2,79.5,58.6,5.6,0,1,1,42.0,Pass
3.5,93.2,59.4,100.0,6.8,0,2,1,62.3,Pass
5.6,87.5,70.1,70.9,7.9,1,2,1,53.7,Pass
4.9,100.0,55.3,82.5,4.8,0,1,1,59.1,Pass
3.2,100.0,89.7,92.8,6.5,1,2,1,61.7,Pass
3.7,67.6,51.9,65.2,4.8,0,1,1,42.9,Pass
1.3,80.8,59.9,71.8,5.0,1,1,1,40.4,Pass
3.5,65.9,66.6,82.7,5.7,0,1,1,47.3,Pass
3.5,70.7,48.6,100.0,7.2,0,1,1,50.8,Pass
4.5,72.4,70.0,84.5,6.0,1,1,1,56.6,Pass
2.9,67.3,89.2,100.0,5.5,1,2,1,53.5,Pass
4.9,67.4,57.6,98.1,6.6,1,1,1,54.6,Pass
6.0,78.3,70.9,85.5,4.8,1,2,1,65.3,Pass
4.3,65.4,23.8,65.2,7.1,0,1,1,32.9,Fail
4.7,90.1,64.4,95.9,8.2,1,1,1,60.9,Pass
4.1,69.0,60.3,57.5,6.4,1,0,1,42.6,Pass
4.0,100.0,52.7,100.0,6.2,0,1,1,53.7,Pass
2.6,74.6,81.2,83.0,7.1,0,0,1,54.2,Pass
4.6,80.9,60.1,40.2,3.5,0,1,1,45.3,Pass
3.8,64.5,62.3,74.9,7.3,1,2,1,44.0,Pass
8.2,100.0,59.3,89.8,10.0,0,2,1,76.3,Pass
7.1,93.4,36.2,76.4,6.3,0,0,1,61.8,Pass
4.8,83.6,48.0,90.7,6.3,1,1,1,45.5,Pass
2.5,63.8,79.4,67.2,7.6,1,0,1,40.8,Pass
1.8,82.5,33.4,60.4,9.0,0,2,1,44.6,Pass
6.4,66.5,53.5,78.9,8.0,1,1,0,53.0,Pass
4.5,97.5,59.0,80.5,3.3,0,1,1,64.7,Pass
5.0,89.7,91.2,74.8,7.3,1,1,1,66.5,Pass
0.5,81.1,76.5,98.4,10.0,0,1,1,54.0,Pass
5.9,50.8,56.6,67.2,7.4,0,1,1,43.3,Pass
4.9,68.2,84.6,84.7,4.8,1,1,1,60.6,Pass
1.8,88.3,53.9,81.0,6.9,0,0,1,42.0,Pass
3.1,94.6,80.1,56.6,4.6,0,0,1,60.1,Pass
4.5,93.3,44.6,60.2,8.3,0,0,1,53.1,Pass
4.1,60.9,81.1,80.2,5.1,1,1,1,49.3,Pass
3.4,83.6,58.9,100.0,6.6,1,2,1,60.4,Pass
3.8,92.2,49.6,88.7,5.2,1,1,1,65.8,Pass
3.5,60.1,61.7,54.1,5.7,1,2,1,43.8,Pass
4.3,79.9,69.2,33.3,8.7,1,1,1,52.3,Pass
6.9,83.3,57.6,91.0,6.7,0,2,1,60.0,Pass
0.0,76.4,73.3,78.6,5.7,0,2,1,46.6,Pass
3.5,57.8,56.3,97.1,4.8,1,1,1,41.4,Pass
4.4,76.1,74.3,66.8,3.7,1,2,1,54.2,Pass
4.6,76.1,71.6,85.3,4.6,1,1,0,56.5,Pass
3.3,78.2,64.1,92.7,6.7,1,2,1,63.8,Pass
0.5,73.2,58.4,73.3,8.0,0,1,1,33.8,Fail
4.7,74.7,67.3,73.6,5.7,1,1,0,52.4,Pass
7.5,79.5,73.3,80.4,8.9,1,1,1,70.9,Pass
0.9,85.3,95.9,88.1,5.4,1,2,1,55.3,Pass
5.7,76.3,79.1,79.8,6.1,1,2,1,60.0,Pass
3.3,75.1,79.6,94.6,4.9,1,1,1,52.5,Pass
3.9,81.1,100.0,73.1,8.0,1,2,1,56.7,Pass
1.9,56.9,72.7,60.1,9.6,0,2,1,35.1,Fail
3.3,85.7,72.3,100.0,3.9,1,1,1,54.9,Pass
6.6,80.0,75.6,70.9,6.0,0,0,1,55.0,Pass
5.2,80.5,49.9,71.5,8.4,0,0,1,53.0,Pass
7.5,91.5,58.3,79.0,4.3,0,0,1,57.8,Pass
6.4,56.6,57.4,81.0,7.4,0,0,1,50.1,Pass
4.9,56.3,74.7,74.2,8.3,0,2,1,50.7,Pass
7.5,83.3,62.4,79.7,6.6,1,1,1,62.2,Pass
4.9,79.9,67.1,79.4,7.3,1,1,1,54.3,Pass
5.7,82.0,81.3,82.6,9.1,1,1,0,57.4,Pass
3.4,74.5,77.9,44.6,9.4,0,1,1,50.0,Pass
4.1,88.0,62.6,100.0,6.4,0,1,1,64.0,Pass
2.6,91.2,55.0,77.8,5.7,1,1,1,51.9,Pass
6.0,85.8,82.0,88.7,5.1,1,1,0,61.2,Pass
1.6,76.9,76.6,59.3,8.0,0,1,1,47.1,Pass
5.6,54.7,40.9,72.9,4.4,1,0,1,35.2,Fail
3.6,89.2,60.3,69.9,6.1,1,2,1,53.0,Pass
6.3,94.7,67.5,100.0,6.7,1,0,1,63.9,Pass
5.5,87.7,76.7,71.2,5.7,1,1,1,55.7,Pass
7.6,69.4,78.7,91.4,6.9,1,1,1,61.1,Pass
5.5,88.1,69.3,70.2,10.0,1,1,1,57.7,Pass
0.9,90.3,73.8,73.2,6.3,0,2,1,55.6,Pass
3.9,98.7,66.0,76.3,5.8,0,0,1,62.2,Pass
1.7,69.5,54.9,99.3,8.0,0,2,1,43.7,Pass
3.0,77.3,61.1,51.7,6.9,1,2,1,44.6,Pass
7.0,89.0,65.3,60.3,8.7,1,1,1,58.4,Pass
5.3,80.7,64.5,50.8,6.7,0,1,0,56.4,Pass
2.6,66.6,36.7,63.7,6.1,1,0,1,40.3,Pass
2.0,85.0,59.0,67.8,3.8,0,2,1,48.0,Pass
4.1,86.9,65.8,55.8,4.1,0,1,1,54.4,Pass
1.6,81.1,60.8,69.0,3.7,1,0,1,42.5,Pass
2.7,82.6,61.3,49.8,7.1,0,1,1,53.3,Pass
4.6,76.9,72.3,64.7,4.5,0,0,1,52.9,Pass
6.3,97.7,48.8,98.0,8.4,0,1,1,58.8,Pass
5.2,69.2,40.6,86.1,6.5,0,1,0,49.0,Pass
0.0,73.0,59.8,82.8,6.1,1,0,1,48.8,Pass
4.6,80.1,76.5,65.0,5.2,1,2,1,54.1,Pass
4.1,90.5,90.3,57.0,7.4,1,1,1,63.7,Pass
4.8,62.0,76.7,62.9,5.3,1,1,1,48.7,Pass
7.2,64.3,43.0,79.4,5.0,0,1,1,49.2,Pass
0.0,55.5,61.5,93.0,8.3,1,2,1,45.7,Pass
2.8,80.4,68.8,93.5,7.0,0,1,1,50.1,Pass
5.2,66.6,67.7,89.5,6.1,0,2,1,60.4,Pass
0.8,75.4,73.1,68.9,7.5,1,1,1,48.3,Pass
7.0,87.9,51.2,80.4,6.5,0,2,1,56.0,Pass
4.7,72.3,66.0,75.2,7.1,0,1,1,53.3,Pass
5.7,82.8,71.3,77.0,5.3,0,2,1,56.8,Pass
2.9,76.4,77.4,100.0,9.6,1,0,1,58.5,Pass
5.6,88.1,52.9,53.6,5.6,0,2,1,62.9,Pass
6.1,85.7,59.8,76.5,8.8,0,2,1,57.9,Pass
4.5,71.7,24.4,98.2,6.2,1,1,1,50.9,Pass
4.5,78.0,55.7,58.0,7.7,0,1,1,50.0,Pass
4.5,92.5,57.1,70.3,7.6,1,1,1,55.8,Pass
2.3,84.7,49.7,72.1,8.2,0,1,1,46.6,Pass
3.7,63.2,67.5,76.7,5.2,1,1,1,45.5,Pass
3.7,87.9,64.2,56.1,8.1,1,1,1,53.9,Pass
4.8,67.0,31.1,88.9,9.3,0,1,1,46.7,Pass
6.0,97.0,68.2,90.0,6.1,1,0,1,59.6,Pass
1.9,92.3,51.1,87.6,6.6,0,2,0,55.8,Pass
3.7,83.5,72.3,66.9,5.7,1,0,1,53.9,Pass
7.0,81.9,45.8,81.3,6.0,1,1,1,56.6,Pass
2.5,77.5,65.5,66.5,9.1,1,0,1,55.4,Pass
2.4,88.1,60.8,75.0,5.0,1,0,1,40.8,Pass
4.4,75.6,69.5,100.0,5.1,1,0,1,63.7,Pass
5.7,82.8,66.9,81.4,8.9,1,1,1,55.7,Pass
4.0,90.5,61.2,62.2,7.4,0,1,1,54.3,Pass
6.7,73.3,42.0,82.7,9.7,1,1,1,52.6,Pass
5.7,72.6,42.8,59.7,5.8,1,1,0,44.1,Pass
5.7,65.7,56.2,62.0,6.7,1,1,1,57.3,Pass
5.1,67.2,64.9,64.4,5.5,0,0,1,59.8,Pass
8.7,58.1,55.9,73.3,6.7,0,0,1,55.2,Pass
3.6,88.8,74.4,94.1,3.8,1,1,1,60.5,Pass
0.0,100.0,60.8,88.7,7.5,1,1,1,50.9,Pass
7.2,97.1,50.5,87.8,7.0,0,1,1,72.1,Pass
3.1,60.5,60.8,63.5,6.4,0,1,1,33.8,Fail
4.2,88.7,68.4,71.9,5.9,0,2,1,58.3,Pass
6.6,97.1,69.9,84.1,5.2,0,0,1,60.7,Pass
0.8,74.5,93.2,70.6,7.6,1,1,1,38.8,Fail
1.5,81.2,55.0,75.8,4.7,0,0,1,43.3,Pass
0.8,55.9,63.9,86.6,7.3,0,1,0,51.5,Pass
2.4,83.2,71.4,74.8,9.6,0,1,1,49.2,Pass
4.9,67.2,64.6,83.4,8.7,0,2,1,58.8,Pass
5.0,82.4,57.5,100.0,4.2,1,0,1,63.7,Pass
4.6,61.3,41.8,77.4,5.7,0,1,1,45.9,Pass
1.2,86.5,57.3,97.7,7.1,0,0,0,50.2,Pass
0.0,92.3,48.9,88.4,6.4,0,1,1,37.3,Fail
4.1,70.6,39.1,58.0,4.4,1,0,1,39.5,Fail
3.1,66.4,53.1,63.5,7.1,1,0,1,48.6,Pass
4.9,54.1,49.3,67.5,6.5,0,2,1,46.3,Pass
5.4,76.8,73.8,67.2,9.4,1,0,1,58.7,Pass
4.3,73.0,74.0,78.6,6.1,0,1,1,55.3,Pass
5.5,61.4,51.4,89.2,8.3,1,2,1,64.5,Pass
4.5,85.4,61.1,98.8,4.6,0,2,1,56.3,Pass
5.1,74.6,37.1,84.6,5.0,1,2,1,59.0,Pass
2.6,67.1,57.6,73.3,7.6,1,1,1,46.9,Pass
3.6,73.3,71.0,48.8,8.1,0,1,1,57.2,Pass
4.4,92.9,77.4,81.1,5.1,0,2,1,54.5,Pass
5.6,87.2,54.3,80.4,6.5,0,0,1,57.6,Pass
3.2,78.4,80.8,82.7,4.4,0,2,1,53.7,Pass
5.0,87.4,42.3,100.0,6.2,0,0,1,56.5,Pass
3.5,66.1,46.3,98.6,7.8,0,2,1,55.9,Pass
3.8,80.4,75.6,91.8,5.8,1,1,1,59.7,Pass
5.7,81.8,90.1,65.6,6.1,0,1,0,66.7,Pass
